symbol	probe_id
SLC2A13	1552694_at
NIPA1	1552696_at
TUBA3FP	1552698_at
CARD16	1552701_a_at
DUSP19	1552705_at
CYB5D1	1552711_a_at
NMNAT2	1552712_a_at
SLC4A1	1552713_a_at
CREG2	1552714_at
RXFP1	1552715_a_at
SPEF2	1552716_at
DTD1	1552718_at
CASC4	1552719_at
FGF1	1552721_a_at
ARPP21	1552722_at
RHOXF1	1552724_at
ADAMTS17	1552725_s_at
SNHG7	1552729_at
DHH	1552730_at
ABRA	1552731_at
KLHDC1	1552733_at
RICTOR	1552734_at
NETO1	1552736_a_at
WWP2	1552737_s_at
ST7L	1552738_a_at
C2orf15	1552740_at
KCNH8	1552742_at
MCF2L	1552743_at
SLCO6A1	1552745_at
PP2D1	1552747_a_at
KLC3	1552749_a_at
CIB3	1552750_at
CADM2	1552752_a_at
C9orf66	1552755_at
HDAC9	1552758_at
SLC16A11	1552761_at
TMEM67	1552763_at
HS6ST2	1552766_at
CAMKK1	1552768_at
ZNF625	1552769_at
ZNF563	1552770_s_at
LIN9	1552771_a_at
CLEC4D	1552772_at
SLC25A27	1552774_a_at
GPRC6A	1552775_at
RAET1E	1552777_a_at
SLC44A5	1552779_a_at
ZNF417	1552783_at
ZNF781	1552785_at
HELB	1552787_at
SEC62	1552789_at
TRDN	1552791_a_at
SOCS4	1552792_at
C8orf31	1552793_at
ZNF547	1552794_a_at
SIM1	1552796_a_at
PROM2	1552797_s_at
TLR4	1552798_a_at
TSNARE1	1552799_at
ABHD11	1552800_at
CAPN13	1552801_at
STMN1	1552803_a_at
TIRAP	1552804_a_at
SIGLEC10	1552807_a_at
ADAMTSL1	1552808_at
RFX4	1552809_at
WFIKKN1	1552811_at
SENP1	1552812_a_at
KLF14	1552813_at
NXNL2	1552816_at
BRS3	1552818_a_at
LINC00205	1552819_at
TMX3	1552822_at
ZNF396	1552825_at
SLC26A7	1552826_at
SNX18	1552828_at
FBXO39	1552830_at
B3GNT6	1552833_at
DENND1B	1552835_at
ZNF619	1552836_at
ICK	1552837_at
FAM71D	1552839_at
BCL2L14	1552841_s_at
HS6ST3	1552842_at
SLC26A1	1552843_at
CLDN15	1552845_at
RAB42	1552846_s_at
PTCHD1	1552848_a_at
C2orf65	1552849_at
ZSCAN4	1552851_at
VWA5B1	1552853_at
LINC00311	1552856_at
HTR6	1552857_a_at
MAGEB6	1552858_at
TCEB3C	1552860_at
RUSC1-AS1	1552862_at
CACNG6	1552863_a_at
IFLTD1	1552865_a_at
CIRBP-AS1	1552868_at
AXDND1	1552870_s_at
ASMTL-AS1	1552872_at
CD200R1	1552875_a_at
LINC00334	1552876_at
ATOH7	1552878_at
SEC16B	1552880_at
FAM123B	1552882_a_at
NKX6-3	1552884_at
TBATA	1552887_at
EXOC3L2	1552889_a_at
CABP4	1552890_a_at
TNFRSF13C	1552892_at
CAMK2N2	1552893_at
ANKRD30BP2	1552895_a_at
KCNG3	1552897_a_at
MGC34034	1552899_at
FOXP2	1552902_a_at
B4GALNT2	1552903_at
NETO1	1552904_at
FMR1NB	1552906_at
GCSAML	1552908_at
SIGLEC11	1552910_at
IL23R	1552912_a_at
MAGEB18	1552913_at
CD276	1552914_a_at
IL28A	1552915_at
IL29	1552917_at
C4orf36	1552919_at
FIGNL1	1552921_a_at
RIMS1	1552922_at
PITPNM2	1552923_a_at
PCDH10	1552925_at
TAB3	1552927_at
GRK7	1552929_at
MMEL1	1552930_at
PDE8A	1552931_a_at
NLRP6	1552932_at
AKNAD1	1552933_at
ZCCHC5	1552935_at
ATRIP	1552937_s_at
ZIC5	1552938_at
ANGPT1	1552939_at
TEDDM1	1552940_at
LOC149373	1552942_at
GABRG1	1552943_at
PANX2	1552944_a_at
ZNF114	1552946_at
CCDC27	1552948_at
C15orf26	1552950_at
RBMY2FP	1552952_at
NEUROD2	1552953_a_at
C5orf17	1552954_at
LINC00208	1552955_at
DNAH6	1552957_at
LRRC15	1552960_at
TTC40	1552964_at
B3GNT7	1552965_a_at
ZNF645	1552967_at
ZMYM6	1552969_a_at
SGCZ	1552971_at
WNT9B	1552973_at
DNAJB13	1552976_at
