symbol	probe_id
EEF1E1	204905_s_at
RPS6KA2	204906_at
BCL3	204907_s_at
DDX6	204909_at
TRIM3	204910_s_at
IL10RA	204912_at
SOX11	204913_s_at
RAMP1	204916_at
MLLT3	204917_s_at
PRR4	204919_at
CPS1	204920_at
GAS8	204921_at
C11orf80	204922_at
SASH3	204923_at
TLR2	204924_at
CTNS	204925_at
INHBA	204926_at
RASSF7	204927_at
SLC10A3	204928_s_at
VAMP5	204929_s_at
BNIP1	204930_s_at
TCF21	204931_at
TNFRSF11B	204932_at
HPN	204934_s_at
PTPN2	204935_at
MAP4K2	204936_at
ZNF274	204937_s_at
PLN	204938_s_at
ALDH3B2	204941_s_at
ADAM12	204943_at
PTPRG	204944_at
PTPRN	204945_at
TOP3A	204946_s_at
E2F1	204947_at
FST	204948_s_at
ICAM3	204949_at
CARD8	204950_at
RHOH	204951_at
LYPD3	204952_at
SNAP91	204953_at
DYRK1B	204954_s_at
SRPX	204955_at
MTAP	204956_at
ORC5	204957_at
PLK3	204958_at
MNDA	204959_at
PTPRCAP	204960_at
CENPA	204962_s_at
SSPN	204963_at
GC	204965_at
BAI2	204966_at
SHROOM2	204967_at
C6orf47	204968_at
RDX	204969_s_at
MAFG	204970_s_at
CSTA	204971_at
OAS2	204972_at
GJB1	204973_at
RAB3A	204974_at
EMP2	204975_at
AMMECR1	204976_s_at
DDX10	204977_at
CLASRP	204978_at
SH3BGR	204979_s_at
CLOCK	204980_at
SLC22A18	204981_at
GIT2	204982_at
GPC4	204983_s_at
TRAPPC6A	204985_s_at
TAOK2	204986_s_at
ITIH2	204987_at
FGB	204988_at
ITGB4	204989_s_at
NF2	204991_s_at
PFN2	204992_s_at
GNAZ	204993_at
MX2	204994_at
CDK5R1	204995_at
GPD1	204997_at
ATF5	204998_s_at
DDX3Y	205000_at
AHDC1	205002_at
DOCK4	205003_at
NKRF	205004_at
NMT2	205005_s_at
CIB2	205007_s_at
TFF1	205009_at
GNL3L	205010_at
VWA5A	205011_at
HAGH	205012_s_at
FGFBP1	205014_at
TGFA	205015_s_at
MBNL2	205017_s_at
VIPR1	205019_s_at
ARL4A	205020_s_at
FOXN3	205021_s_at
RAD51	205023_at
ZBTB48	205025_at
STAT5B	205026_at
MAP3K8	205027_s_at
TRO	205028_at
FABP7	205029_s_at
EFNB3	205031_at
ITGA2	205032_at
CCNE2	205034_at
CTDP1	205035_at
LSM6	205036_at
IFT27	205037_at
IKZF1	205038_at
ORM1	205040_at
GNE	205042_at
CFTR	205043_at
GABRP	205044_at
AKAP10	205045_at
CENPE	205046_at
ASNS	205047_s_at
CD79A	205049_s_at
MAPK8IP2	205050_s_at
KIT	205051_s_at
AUH	205052_at
PRIM1	205053_at
NEB	205054_at
ITGAE	205055_at
GPR162	205056_s_at
IDUA	205057_s_at
PARG	205060_at
EXOSC9	205061_s_at
ARID4A	205062_x_at
GEMIN2	205063_at
SPRR1B	205064_at
ENPP1	205065_at
IL1B	205067_at
ARHGAP26	205068_s_at
ING3	205070_at
XRCC4	205071_x_at
CYP2J2	205073_at
SLC22A5	205074_at
SERPINF2	205075_at
MTMR11	205076_s_at
PIGF	205077_s_at
MPDZ	205079_s_at
RARB	205080_at
CRIP1	205081_at
AOX1	205082_s_at
BCAP29	205084_at
ORC1	205085_at
NCAPH2	205086_s_at
RWDD3	205087_at
MAMLD1	205088_at
ZNF7	205089_at
NAGPA	205090_s_at
RECQL	205091_x_at
ZBTB1	205092_x_at
PLEKHA6	205093_at
PEX12	205094_at
ATP6V0A1	205095_s_at
POM121	205096_at
SLC26A2	205097_at
CCR1	205098_at
GFPT2	205100_at
CIITA	205101_at
TMPRSS2	205102_at
C1orf61	205103_at
SNPH	205104_at
MAN2A1	205105_at
EFNA4	205107_s_at
APOB	205108_s_at
ARHGEF4	205109_s_at
FGF13	205110_s_at
PLCE1	205111_s_at
NEFM	205113_at
RBM19	205115_s_at
LAMA2	205116_at
FGF1	205117_at
FPR1	205118_at
SGCB	205120_s_at
TMEFF1	205122_at
PLCD1	205125_at
VRK2	205126_at
PTGS1	205127_at
NPM3	205129_at
MOK	205130_at
CLEC11A	205131_x_at
ACTC1	205132_at
HSPE1	205133_s_at
NUFIP1	205134_s_at
USH1C	205137_x_at
UST	205138_s_at
FPGT	205140_at
ANG	205141_at
ABCD1	205142_x_at
NCAN	205143_at
MYL5	205145_s_at
APBA3	205146_x_at
NCF4	205147_x_at
CLCN4	205148_s_at
TRIL	205150_s_at
SLC6A1	205152_at
CD40	205153_s_at
LRRN2	205154_at
SPTBN2	205155_s_at
ASIC1	205156_s_at
KRT17	205157_s_at
RNASE4	205158_at
CSF2RB	205159_at
PEX11A	205160_at
ERCC8	205162_at
MYLPF	205163_at
GCAT	205164_at
CELSR3	205165_at
CAPN5	205166_at
CDC25C	205167_s_at
DDR2	205168_at
RBBP5	205169_at
STAT2	205170_at
PTPN4	205171_at
CLTB	205172_x_at
CD58	205173_x_at
QPCT	205174_s_at
KHK	205175_s_at
ITGB3BP	205176_s_at
TNNI1	205177_at
RBBP6	205178_s_at
ADAM8	205179_s_at
ZNF193	205181_at
ZNF324	205182_s_at
HNRNPD	205183_at
GNG4	205184_at
SPINK5	205185_at
DNALI1	205186_at
SMAD5	205187_at
FANCC	205189_s_at
PLS1	205190_at
RP2	205191_at
MAP3K14	205192_at
MAFF	205193_at
PSPH	205194_at
AP1S1	205195_at
ATP7A	205197_s_at
CA9	205199_at
CLEC3B	205200_at
GLI3	205201_at
PCMT1	205202_at
PLD1	205203_at
NMB	205204_at
RELB	205205_at
KAL1	205206_at
IL6	205207_at
ALDH1L1	205208_at
ACVR1B	205209_at
TGFBRAP1	205210_at
RIN1	205211_s_at
ACAP1	205212_s_at
STK17B	205214_at
RNF2	205215_at
APOH	205216_s_at
TIMM8A	205217_at
POLR3F	205218_at
GALK2	205219_s_at
HCAR3	205220_at
HGD	205221_at
EHHADH	205222_at
DEPDC5	205223_at
SURF2	205224_at
ESR1	205225_at
PDGFRL	205226_at
IL1RAP	205227_at
RBMS2	205228_at
COCH	205229_s_at
RPH3A	205230_at
EPM2A	205231_s_at
PAFAH2	205232_s_at
SLC16A4	205234_at
KIF20B	205235_s_at
SOD3	205236_x_at
FCN1	205237_at
TRMT2B	205238_at
AREG	205239_at
GPSM2	205240_at
SCO2	205241_at
CXCL13	205242_at
SLC13A3	205243_at
PARD6A	205245_at
PEX13	205246_at
NOTCH4	205247_at
DOPEY2	205248_at
EGR2	205249_at
CEP290	205250_s_at
PER2	205251_at
ZNF174	205252_at
PBX1	205253_at
TCF7	205254_x_at
ZBTB39	205256_at
AMPH	205257_s_at
INHBB	205258_at
NR3C2	205259_at
ACYP1	205260_s_at
PGC	205261_at
KCNH2	205262_at
BCL10	205263_at
CD3EAP	205264_at
SPEG	205265_s_at
LIF	205266_at
POU2AF1	205267_at
ADD2	205268_s_at
LCP2	205269_at
CDK20	205271_s_at
PITRM1	205273_s_at
GTPBP1	205274_at
PRDM2	205277_at
GAD1	205278_at
GLRB	205279_s_at
PIGA	205281_s_at
LRP8	205282_at
FKTN	205283_at
URB2	205284_at
FYB	205285_s_at
TFAP2C	205286_at
CDC14A	205288_at
BMP2	205289_at
IL2RB	205291_at
HNRNPA2B1	205292_s_at
BAIAP2	205293_x_at
CKMT2	205295_at
RBL1	205296_at
CD79B	205297_s_at
BTN2A2	205298_s_at
SNRNP35	205300_s_at
OGG1	205301_s_at
IGFBP1	205302_at
KCNJ8	205303_at
FGL1	205305_at
KMO	205306_x_at
ZC2HC1A	205308_at
SMPDL3B	205309_at
FBXO46	205310_at
DDC	205311_at
SPI1	205312_at
HNF1B	205313_at
SNTB2	205314_x_at
SLC15A2	205316_at
KIF5A	205318_at
PSCA	205319_at
APC2	205320_at
EIF2S3	205321_at
MTF1	205322_s_at
FTSJ1	205324_s_at
PHYHIP	205325_at
RAMP3	205326_at
ACVR2A	205327_s_at
CLDN10	205328_at
SNX4	205329_s_at
MN1	205330_at
REEP2	205331_s_at
RCE1	205332_at
S100A1	205334_at
SRP19	205335_s_at
PVALB	205336_at
DCT	205337_at
STIL	205339_at
ZBTB24	205340_at
EHD2	205341_at
SULT1C2	205342_s_at
CSPG5	205344_at
BARD1	205345_at
ST3GAL2	205346_at
TMSB15A	205347_s_at
DYNC1I1	205348_s_at
GNA15	205349_at
CRABP1	205350_at
GGCX	205351_at
SERPINI1	205352_at
PEBP1	205353_s_at
GAMT	205354_at
ACADSB	205355_at
USP13	205356_at
AGTR1	205357_s_at
GRIA2	205358_at
AKAP6	205359_at
PFDN4	205360_at
BBOX1	205363_at
ACOX2	205364_at
HOXB6	205365_at
SH2B2	205367_at
FAM131B	205368_at
DBT	205369_x_at
PLAG1	205372_at
CTNNA2	205373_at
SLN	205374_at
MDFI	205375_at
INPP4B	205376_at
ACHE	205377_s_at
CBR3	205379_at
PDZK1	205380_at
LRRC17	205381_at
CFD	205382_s_at
ZBTB20	205383_s_at
FXYD1	205384_at
MDM2	205385_at
TNNC2	205388_at
ANK1	205389_s_at
CHEK1	205393_s_at
MRE11A	205395_s_at
SMAD3	205396_at
DCLK1	205399_at
WAS	205400_at
AGPS	205401_at
PRSS2	205402_x_at
IL1R2	205403_at
HSD11B1	205404_at
SEMA5A	205405_at
SPA17	205406_s_at
RECK	205407_at
MLLT10	205408_at
FOSL2	205409_at
ATP2B4	205410_s_at
STK4	205411_at
ACAT1	205412_at
MPPED2	205413_at
ARHGAP44	205414_s_at
ATXN3	205415_s_at
DAG1	205417_s_at
FES	205418_at
GPR183	205419_at
PEX7	205420_at
SLC22A3	205421_at
ITGBL1	205422_s_at
AP1B1	205423_at
TBKBP1	205424_at
HIP1	205425_at
ZNF354A	205427_at
CALB2	205428_s_at
MPP6	205429_s_at
BMP5	205430_at
OVGP1	205432_at
BCHE	205433_at
AAK1	205434_s_at
H2AFX	205436_s_at
ZNF211	205437_at
PTPN21	205438_at
GSTT2	205439_at
NPY1R	205440_s_at
OCEL1	205441_at
MFAP3L	205442_at
SNAPC1	205443_at
ATP2A1	205444_at
PRL	205445_at
ATF2	205446_s_at
MAP3K12	205447_s_at
SAC3D1	205449_at
PHKA1	205450_at
FOXO4	205451_at
PIGB	205452_at
HOXB2	205453_at
HPCA	205454_at
MST1R	205455_at
CD3E	205456_at
C6orf106	205457_at
MC1R	205458_at
NPAS2	205459_s_at
RAB35	205461_at
HPCAL1	205462_s_at
PDGFA	205463_s_at
SCNN1B	205464_at
HS3ST1	205465_x_at
CASP10	205467_at
IRF5	205468_s_at
KLK11	205470_s_at
DACH1	205471_s_at
ATP6V1B1	205473_at
CRLF3	205474_at
SCRG1	205475_at
CCL20	205476_at
AMBP	205477_s_at
PPP1R1A	205478_at
PLAU	205479_s_at
UGP2	205480_s_at
ADORA1	205481_at
SNX15	205482_x_at
ISG15	205483_s_at
SIT1	205484_at
RYR1	205485_at
TESK2	205486_at
VGLL1	205487_s_at
GZMA	205488_at
CRYM	205489_at
GJB3	205490_x_at
DPYSL4	205492_s_at
ZNF821	205494_at
GNLY	205495_s_at
KIAA0408	205496_at
ZNF175	205497_at
GHR	205498_at
SRPX2	205499_at
C5	205500_at
PDE10A	205501_at
CYP17A1	205502_at
PTPN14	205503_at
BTK	205504_at
GCNT1	205505_at
VIL1	205506_at
ARHGEF15	205507_at
SCN1B	205508_at
CPB1	205509_at
FLJ10038	205510_s_at
AIFM1	205512_s_at
TCN1	205513_at
ZNF415	205514_at
PRSS12	205515_at
CIZ1	205516_x_at
GATA4	205517_at
CMAHP	205518_s_at
WDR76	205519_at
STRN	205520_at
EXOG	205521_at
HAPLN1	205523_at
CALD1	205525_at
KATNA1	205526_s_at
GEMIN4	205527_s_at
RUNX1T1	205528_s_at
ETFDH	205530_at
GLS2	205531_s_at
CDH6	205532_s_at
PCDH7	205534_at
VAV2	205536_at
CORO2A	205538_at
AVIL	205539_at
RRAGB	205540_s_at
GSPT2	205541_s_at
STEAP1	205542_at
HSPA4L	205543_at
CR2	205544_s_at
DNAJC8	205545_x_at
TYK2	205546_s_at
TAGLN	205547_s_at
BTG3	205548_s_at
PCP4	205549_at
BRE	205550_s_at
SV2B	205551_at
OAS1	205552_s_at
CSRP3	205553_s_at
DNASE1L3	205554_s_at
MSX2	205555_s_at
BPI	205557_at
TRAF6	205558_at
PCSK5	205559_s_at
KCTD17	205561_at
RPP38	205562_at
KISS1	205563_at
PAGE4	205564_at
FXN	205565_s_at
ABHD2	205566_at
CHST1	205567_at
AQP9	205568_at
LAMP3	205569_at
PIP4K2A	205570_at
LIPT1	205571_at
ANGPT2	205572_at
SNX7	205573_s_at
BMP1	205574_x_at
C1QL1	205575_at
SERPIND1	205576_at
PYGM	205577_at
ROR2	205578_at
HRH1	205579_at
NOS3	205581_s_at
GGT5	205582_s_at
ALG13	205583_s_at
ETV6	205585_at
VGF	205586_x_at
FGFR1OP	205587_at
MYL3	205589_at
RASGRP1	205590_at
OLFM1	205591_at
SLC4A1	205592_at
PDE9A	205593_s_at
ZNF652	205594_at
DSG3	205595_at
SMURF2	205596_s_at
SLC44A4	205597_at
TRAIP	205598_at
TRAF1	205599_at
HOXB5	205600_x_at
PSG7	205602_x_at
DIAPH2	205603_s_at
HOXD9	205604_at
LRP6	205606_at
SCYL3	205607_s_at
ANGPT1	205608_s_at
MYOM1	205610_at
TNFSF12	205611_at
MMRN1	205612_at
SYT17	205613_at
MST1	205614_x_at
CPA1	205615_at
KCNA6	205616_at
PRRG2	205617_at
PRRG1	205618_at
MEOX1	205619_s_at
F10	205620_at
ALKBH1	205621_at
SMPD2	205622_at
ALDH3A1	205623_at
CPA3	205624_at
CALB1	205625_s_at
CDA	205627_at
PRIM2	205628_at
CRH	205629_s_at
KIAA0586	205631_at
PIP5K1B	205632_s_at
ALAS1	205633_s_at
KALRN	205635_at
SH3GL3	205636_at
BAI3	205638_at
AOAH	205639_at
ALDH3B1	205640_at
TRADD	205641_s_at
CNTRL	205642_at
PPP2R2B	205643_s_at
SNRPG	205644_s_at
REPS2	205645_at
PAX6	205646_s_at
RAD52	205647_at
WNT2	205648_at
FGA	205649_s_at
RAPGEF4	205651_x_at
TTLL1	205652_s_at
CTSG	205653_at
C4BPA	205654_at
MDM4	205655_at
PCDH17	205656_at
HAAO	205657_at
SNAPC4	205658_s_at
HDAC9	205659_at
OASL	205660_at
FLAD1	205661_s_at
B9D1	205662_at
PCBP3	205663_at
KIN	205664_at
TSPAN9	205665_at
FMO1	205666_at
WRN	205667_at
LY75	205668_at
NCAM2	205669_at
GAL3ST1	205670_at
HLA-DOB	205671_s_at
XPA	205672_at
ASB9	205673_s_at
FXYD2	205674_x_at
MTTP	205675_at
CYP27B1	205676_at
DLEU1	205677_s_at
AP3B2	205678_at
ACAN	205679_x_at
MMP10	205680_at
BCL2A1	205681_at
APOM	205682_x_at
TPSAB1	205683_x_at
DENND4C	205684_s_at
CD86	205685_at
UBFD1	205687_at
TFAP4	205688_at
PCNXL2	205689_at
BUD31	205690_s_at
SYNGR3	205691_at
CD38	205692_s_at
TNNT3	205693_at
TYRP1	205694_at
SDS	205695_at
GFRA1	205696_s_at
SCGN	205697_at
MAP2K6	205698_s_at
HSD17B6	205700_at
IPO8	205701_at
PHTF1	205702_at
ATP6V0A2	205703_at
ANKRD26	205705_at
IL17RA	205707_at
TRPM2	205708_s_at
CDS1	205709_s_at
LRP2	205710_at
ATP5C1	205711_x_at
PTPRD	205712_at
COMP	205713_s_at
ZMYND10	205714_s_at
BST1	205715_at
SLC25A40	205716_at
ITGB7	205718_at
PAH	205719_s_at
POMC	205720_at
GFRA2	205721_at
CNTFR	205723_at
PKP1	205724_at
SCGB1A1	205725_at
DIAPH2	205726_at
TEP1	205727_at
ODZ1	205728_at
OSMR	205729_at
ABLIM3	205730_s_at
NCOA2	205731_s_at
BLM	205733_at
AFF3	205734_s_at
PGAM2	205736_at
KCNQ2	205737_at
FABP3	205738_s_at
ZNF107	205739_x_at
RBM42	205740_s_at
DTNA	205741_s_at
TNNI3	205742_at
STAC	205743_at
DOC2A	205744_at
ADAM17	205745_x_at
CBLN1	205747_at
RNF126	205748_s_at
CYP1A1	205749_at
BPHL	205750_at
SH3GL2	205751_at
GSTM5	205752_s_at
CRP	205753_at
F2	205754_at
ITIH3	205755_at
F8	205756_s_at
ENTPD5	205757_at
CD8A	205758_at
SULT2B1	205759_s_at
OGG1	205760_s_at
DUS4L	205761_s_at
DDX18	205763_s_at
CYP3A5	205765_at
TCAP	205766_at
EREG	205767_at
SLC27A2	205768_s_at
GSR	205770_at
AKAP7	205771_s_at
CPEB3	205773_at
F12	205774_at
FAM50B	205775_at
FMO5	205776_at
DUSP9	205777_at
KLK7	205778_at
RAMP2	205779_at
BIK	205780_at
C16orf7	205781_at
FGF7	205782_at
KLK13	205783_at
ARVCF	205784_x_at
ITGAM	205785_at
ZC3H11A	205788_s_at
CD1D	205789_at
SKAP1	205790_at
WISP2	205792_at
TNK1	205793_x_at
NOVA1	205794_s_at
NRXN3	205795_at
TCP11L1	205796_at
IL7R	205798_at
SLC3A1	205799_s_at
RASGRP3	205801_s_at
TRPC1	205802_at
TRAF3IP3	205804_s_at
ROR1	205805_s_at
ROM1	205806_at
TUFT1	205807_s_at
ASPH	205808_at
WASL	205809_s_at
POLG2	205811_at
MAT1A	205813_s_at
GRM3	205814_at
REG3A	205815_at
ITGB8	205816_at
SIX1	205817_at
DBC1	205818_at
MARCO	205819_at
APOC3	205820_s_at
KLRK1	205821_at
HMGCS1	205822_s_at
RGS12	205823_at
HSPB2	205824_at
PCSK1	205825_at
MYOM2	205826_at
CCK	205827_at
MMP3	205828_at
HSD17B1	205829_at
CLGN	205830_at
CD2	205831_at
CPA4	205832_at
PART1	205833_s_at
YTHDC2	205835_s_at
GYPA	205837_s_at
BZRAP1	205839_s_at
GH1	205840_x_at
JAK2	205841_at
CRAT	205843_x_at
VNN1	205844_at
CACNA1H	205845_at
PTPRB	205846_at
PRSS22	205847_at
GAS2	205848_at
UQCRB	205849_s_at
GABRB3	205850_s_at
NME6	205851_at
CDK5R2	205852_at
ZBTB7B	205853_at
TULP3	205854_at
ZNF197	205855_at
SLC14A1	205856_at
SLC18A2	205857_at
NGFR	205858_at
LY86	205859_at
FOLH1	205860_x_at
SPIB	205861_at
GREB1	205862_at
S100A12	205863_at
SLC7A4	205864_at
ARID3A	205865_at
FCN3	205866_at
PTPN11	205867_at
PRSS1	205869_at
BDKRB2	205870_at
PDE4DIP	205872_x_at
PIGL	205873_at
ITPKA	205874_at
TREX1	205875_s_at
LIFR	205876_at
ZC3H7B	205877_s_at
POU6F1	205878_at
RET	205879_x_at
PRKD1	205880_at
ZNF74	205881_at
ADD3	205882_x_at
ZBTB16	205883_at
ITGA4	205884_at
REG1B	205886_at
MSH3	205887_x_at
JAKMIP2	205888_s_at
ADORA2B	205891_at
FABP1	205892_s_at
NLGN1	205893_at
ARSE	205894_at
NOLC1	205895_s_at
SLC22A4	205896_at
NFATC4	205897_at
CX3CR1	205898_at
CCNA1	205899_at
KRT1	205900_at
PNOC	205901_at
KCNN3	205902_at
MICA	205904_at
FOXJ1	205906_at
OMD	205907_s_at
POLE2	205909_at
CEL	205910_s_at
PTH1R	205911_at
PNLIP	205912_at
PLIN1	205913_at
GRIN1	205914_s_at
S100A7	205916_at
ZNF264	205917_at
SLC4A3	205918_at
HBE1	205919_at
SLC6A6	205920_at
VNN2	205922_at
RELN	205923_at
RAB3B	205924_at
IL27RA	205926_at
CTSE	205927_s_at
ZNF443	205928_at
GPA33	205929_at
GTF2E1	205930_at
CREB5	205931_s_at
MSX1	205932_s_at
SETBP1	205933_at
PLCL1	205934_at
FOXF1	205935_at
HK3	205936_s_at
CGREF1	205937_at
PPM1E	205938_at
CYP3A7	205939_at
MYH3	205940_at
COL10A1	205941_s_at
ACSM3	205942_s_at
TDO2	205943_at
CLTCL1	205944_s_at
IL6R	205945_at
VIPR2	205946_at
PTPRT	205948_at
CA1	205949_at
MYH1	205951_at
KCNK3	205952_at
LRIG2	205953_at
RXRG	205954_at
PSMC3IP	205956_x_at
PLXNB3	205957_at
CSHL1	205958_x_at
MMP13	205959_at
PDK4	205960_at
PSIP1	205961_s_at
PAK2	205962_at
DNAJA3	205963_s_at
ZNF426	205964_at
BATF	205965_at
TAF13	205966_at
HIST1H4C	205967_at
KCNS3	205968_at
AADAC	205969_at
MT3	205970_at
SLC38A3	205972_at
FEZ1	205973_at
HOXD1	205974_at
FASTKD2	205976_at
EPHA1	205977_s_at
KL	205978_at
SCGB2A1	205979_at
ING2	205981_s_at
SFTPC	205982_x_at
DPEP1	205983_at
CRHBP	205984_at
CLCNKB	205985_x_at
AATK	205986_at
CD1C	205987_at
CD84	205988_at
MOG	205989_s_at
WNT5A	205990_s_at
PRRX1	205991_s_at
IL15	205992_s_at
TBX2	205993_s_at
ELK4	205994_at
IQCB1	205995_x_at
AK2	205996_s_at
ADAM28	205997_at
CYP3A4	205998_x_at
MEP1A	206000_at
NPY	206001_at
GPR64	206002_at
CEP135	206003_at
TGM3	206004_at
KIAA1009	206005_s_at
PRG4	206007_at
TGM1	206008_at
ITGA9	206009_at
HABP2	206010_at
CASP1	206011_at
LEFTY2	206012_at
ACTL6B	206013_s_at
FOXJ3	206015_s_at
CCDC22	206016_at
KIAA0319	206017_at
FOXG1	206018_at
RBM19	206019_at
SOCS6	206020_at
SCAND2	206021_at
NDP	206022_at
NMU	206023_at
HPD	206024_at
TNFAIP6	206025_s_at
S100A3	206027_at
MERTK	206028_s_at
ANKRD1	206029_at
ASPA	206030_at
USP5	206031_s_at
DSC3	206032_at
SERPINB8	206034_at
REL	206035_at
CCBL1	206037_at
NR2C2	206038_s_at
RAB33A	206039_at
MAPK11	206040_s_at
ATP2C2	206043_s_at
BRAF	206044_s_at
NOL4	206045_s_at
ADAM23	206046_at
GNB3	206047_at
OVOL2	206048_at
SELP	206049_at
RNH1	206050_s_at
ELAVL4	206051_at
SLBP	206052_s_at
ZNF510	206053_at
KNG1	206054_at
SNRPA1	206055_s_at
SPN	206056_x_at
SLC6A12	206058_at
ZNF91	206059_at
PTPN22	206060_s_at
DICER1	206061_s_at
GUCA1A	206062_at
PPIL2	206064_s_at
DPYS	206065_s_at
RAD51C	206066_s_at
WT1	206067_s_at
ACADL	206068_s_at
EPHA3	206070_s_at
UCN	206072_at
COLQ	206073_at
HMGA1	206074_s_at
CSNK2A1	206075_s_at
LRRC23	206076_at
KEL	206077_at
KALRN	206078_at
CHML	206079_at
PLCH2	206080_at
SLC24A1	206081_at
HCP5	206082_at
BAI1	206083_at
PTPRR	206084_at
CTH	206085_s_at
HFE	206086_x_at
NELL1	206089_at
MATN3	206091_at
RTEL1	206092_x_at
SRSF10	206095_s_at
ZNF35	206096_at
SLC22A18AS	206097_at
ZBTB6	206098_at
PRKCH	206099_at
CPM	206100_at
ECM2	206101_at
GINS1	206102_at
RAC3	206103_at
ISL1	206104_at
AFF2	206105_at
RGS11	206107_at
SRSF6	206108_s_at
FUT1	206109_at
HIST1H3H	206110_at
RNASE2	206111_at
ANKRD7	206112_at
RAB5A	206113_s_at
EPHA4	206114_at
EGR3	206115_at
TPM1	206116_s_at
STAT4	206118_at
BHMT	206119_at
CD33	206120_at
AMPD1	206121_at
SOX15	206122_at
LLGL1	206123_at
KLK8	206125_s_at
CXCR5	206126_at
ELK3	206127_at
ADRA2C	206128_at
ARSB	206129_s_at
ASGR2	206130_s_at
CLPS	206131_at
MCC	206132_at
XAF1	206133_at
ADAMDEC1	206134_at
ST18	206135_at
FZD5	206136_at
RIMS2	206137_at
PI4KB	206138_s_at
LHX2	206140_at
MOCS3	206141_at
ZNF135	206142_at
SLC26A3	206143_at
MAGI1	206144_at
RHAG	206145_at
SCML2	206147_x_at
IL3RA	206148_at
CHP2	206149_at
CD27	206150_at
CELA3B	206151_x_at
AGAP2	206152_at
CYP4F11	206153_at
RLBP1	206154_at
ABCC2	206155_at
GJB5	206156_at
PTX3	206157_at
CNBP	206158_s_at
GDF10	206159_at
APOBEC2	206160_at
SYT5	206161_s_at
MAB21L1	206163_at
CLCA2	206164_at
ARHGAP6	206167_s_at
ZC3H7B	206168_at
ADRB2	206170_at
ADORA3	206171_at
IL13RA2	206172_at
GABPB1	206173_x_at
PPP6C	206174_s_at
ZNF222	206175_x_at
BMP6	206176_at
ARG1	206177_s_at
PLA2G5	206178_at
TPPP	206179_s_at
ZNF747	206180_x_at
SLAMF1	206181_at
ZNF134	206182_at
HERC3	206183_s_at
CRKL	206184_at
CRYBB1	206185_at
MPP3	206186_at
PTGIR	206187_at
ZNF623	206188_at
UNC5C	206189_at
GPR17	206190_at
ENTPD3	206191_at
CDSN	206192_at
GH2	206195_x_at
RUNDC3A	206196_s_at
NME5	206197_at
CEACAM7	206198_s_at
ANXA11	206200_s_at
MEOX2	206201_s_at
RCVRN	206203_at
GRB14	206204_at
MPHOSPH9	206205_at
CD180	206206_at
CLC	206207_at
CA4	206208_at
CETP	206210_s_at
SELE	206211_at
CPA2	206212_at
WNT10B	206213_at
PLA2G7	206214_at
OPCML	206215_at
SRPK3	206216_at
EDA	206217_at
MAGEB2	206218_at
VAV1	206219_s_at
RASA3	206220_s_at
TNFRSF10C	206222_at
LMTK2	206223_at
CST1	206224_at
ZNF507	206225_at
HRG	206226_at
CILP	206227_at
PAX2	206228_at
LHX1	206230_at
KCNN1	206231_at
B4GALT6	206232_s_at
MMP17	206234_s_at
LIG4	206235_at
GPR4	206236_at
NRG1	206237_s_at
YAF2	206238_s_at
SPINK1	206239_s_at
ZNF136	206240_s_at
KPNA5	206241_at
TM4SF5	206242_at
TIMP4	206243_at
CR1	206244_at
IVNS1ABP	206245_s_at
PFKFB4	206246_at
MICB	206247_at
PRKCE	206248_at
MAP3K13	206249_at
AVPR1A	206250_x_at
DLG2	206253_at
EGF	206254_at
BLK	206255_at
CPN1	206256_at
CCDC9	206257_at
ST8SIA5	206258_at
PROC	206259_at
TGM4	206260_at
ZNF239	206261_at
ADH1C	206262_at
FMO4	206263_at
GPLD1	206264_at
MATK	206267_s_at
LEFTY1	206268_at
GCM1	206269_at
PRKCG	206270_at
TLR3	206271_at
SLMO1	206273_at
CROCC	206274_s_at
MICAL2	206275_s_at
LY6D	206276_at
P2RY2	206277_at
PTAFR	206278_at
PRKY	206279_at
CDH18	206280_at
ADCYAP1	206281_at
NEUROD1	206282_at
TAL1	206283_s_at
CLTB	206284_x_at
NPHP1	206285_at
PGGT1B	206288_at
HOXA4	206289_at
RGS7	206290_s_at
NTS	206291_at
SULT2A1	206292_s_at
HSD3B2	206294_at
IL18	206295_at
MAP4K1	206296_x_at
CTRC	206297_at
ARHGAP22	206298_at
FAM155B	206299_at
PTHLH	206300_s_at
TEC	206301_at
NUDT4	206303_s_at
MYBPH	206304_at
C8A	206305_s_at
RYR3	206306_at
FOXD1	206307_s_at
TRDMT1	206308_at
LECT1	206309_at
SPINK2	206310_at
PLA2G1B	206311_s_at
GUCY2C	206312_at
HLA-DOA	206313_at
ZNF167	206314_at
CRLF1	206315_at
KNTC1	206316_s_at
ABCB8	206317_s_at
EPPIN	206318_at
SMAD9	206320_s_at
RFX1	206321_at
SYN3	206322_at
OPHN1	206323_x_at
DAPK2	206324_s_at
SERPINA6	206325_at
GRP	206326_at
CDH15	206327_s_at
EXTL1	206329_at
SHC3	206330_s_at
CALCRL	206331_at
IFI16	206332_s_at
MSI1	206333_at
LIPF	206334_at
GALNS	206335_at
CXCL6	206336_at
CCR7	206337_at
ELAVL3	206338_at
CARTPT	206339_at
NR1H4	206340_at
IL2RA	206341_at
IDS	206342_x_at
NRG1	206343_s_at
PON1	206344_at
PRLR	206346_at
PDK3	206347_at
LGI1	206349_at
APCS	206350_at
PEX10	206351_s_at
